12
二教 综合楼 一教 树林 琴心湖 篮球场 商业楼 七号宿舍 三餐 四号宿舍 十号宿舍 一二餐厅
0 150 300 450 300 300 600 750 900 1200 1350 1500
150 0 150 150 300 300 600 750 900 1200 1350 1500
300 150 0 90 150 300 450 600 750 900 1050 1200
450 150 90 0 100 150 300 450 600 750 900 1050
300 300 150 100 0 200 250 300 350 400 450 500
300 600 300 150 200 0 80 120 150 200 250 300
600 750 450 300 250 80 0 50 100 150 200 250
750 900 600 450 300 120 50 0 90 120 150 200
900 1200 750 600 350 150 100 90 0 70 100 150
1200 1350 900 750 400 200 150 120 70 0 80 100
1350 1500 1050 900 450 250 200 150 100 80 0 70
1500 1650 1200 1050 500 300 250 200 150 100 70 0
